10 [185, 74] [185, 141] 0 8

10 [187, 143] [229, 143] 1 9

10 [232, 146] [231, 552] 2 8

10 [228, 555] [58, 555] 3 5

10 [56, 557] [57, 728] 4 8

10 [967, 727] [967, 432] 6 2

10 [785, 603] [861, 603] 0 2

10 [864, 606] [864, 717] 1 3

10 [699, 603] [775, 603] 0 2

10 [778, 606] [778, 717] 1 3

10 [613, 603] [688, 603] 0 2

10 [691, 606] [691, 717] 1 3

10 [527, 603] [603, 603] 0 2

10 [606, 606] [606, 717] 1 3

10 [441, 603] [517, 603] 0 2

10 [520, 606] [520, 717] 1 3

10 [355, 603] [430, 603] 0 2

10 [433, 606] [433, 717] 1 3

10 [270, 603] [344, 603] 0 2

10 [347, 606] [347, 717] 1 3

10 [72, 562] [260, 562] 0 2

10 [263, 565] [263, 718] 1 3

10 [550, 469] [601, 469] 0 2

10 [604, 472] [604, 553] 1 3

10 [873, 438] [948, 438] 0 2

10 [951, 441] [951, 553] 1 3

10 [785, 438] [861, 438] 0 2

10 [864, 441] [864, 553] 1 3

10 [699, 438] [775, 438] 0 2

10 [778, 441] [778, 553] 1 3

10 [612, 438] [687, 438] 0 2

10 [690, 441] [690, 553] 1 3

10 [246, 420] [389, 421] 0 2

10 [391, 423] [391, 554] 1 3

10 [444, 327] [603, 327] 0 2

10 [606, 330] [606, 382] 1 3

10 [245, 280] [388, 280] 0 2

10 [391, 283] [391, 414] 1 3

10 [241, 414] [242, 283] 3 1

10 [444, 265] [603, 265] 0 2

10 [606, 268] [606, 320] 1 3

10 [444, 204] [603, 204] 0 2

10 [606, 207] [606, 258] 1 3

10 [444, 142] [603, 142] 0 2

10 [606, 145] [606, 197] 1 3

10 [246, 139] [388, 139] 0 2

10 [391, 142] [391, 273] 1 3

10 [242, 273] [243, 142] 3 1

10 [444, 81] [603, 81] 0 2

10 [606, 84] [606, 136] 1 3

10 [197, 80] [434, 80] 0 22

4 [437, 83] [437, 434] 1 3

2 [439, 436] [450, 436] 2 6

10 [444, 388] [601, 388] 4 6

2 [540, 556] [444, 556] 11 14

10 [956, 561] [956, 718] 15 17

10 [953, 721] [870, 721] 16 20

10 [865, 601] [270, 601] 18 20

2 [505, 436] [517, 436] 0 1

