Edge map size: 37

[248, 715] [247, 705] 14.229

[517, 724] [517, 492] 3.50211

[519, 490] [536, 490] 4

[374, 724] [374, 492] 3.50211

[376, 490] [457, 490] 4

[210, 490] [221, 490] 4

[227, 724] [227, 492] 3.50211

[229, 490] [310, 490] 4

[726, 471] [725, 486] 11.6408

[583, 490] [724, 490] 4

[726, 492] [725, 727] 3.4638

[725, 727] [37, 727] 4

[37, 727] [36, 492] 4.4723

[38, 490] [162, 490] 4

[344, 407] [111, 408] 4

[35, 424] [36, 413] 2.94664

[38, 411] [65, 411] 4

[36, 405] [36, 330] 4

[36, 223] [36, 128] 4

[38, 126] [148, 126] 5

[591, 41] [726, 42] 5

[726, 42] [726, 151] 3

[660, 158] [684, 158] 6

[687, 156] [723, 156] 5

[726, 158] [726, 306] 3

[584, 307] [584, 159] 5

[597, 407] [584, 406] 4

[584, 406] [585, 312] 5

[585, 312] [724, 312] 4

[726, 314] [726, 334] 3

[726, 347] [726, 406] 3

[724, 408] [645, 407] 2

[338, 36] [338, 119] 4

[336, 121] [245, 121] 5

[337, 127] [338, 405] 5

[341, 404] [342, 348] 3.1043

[342, 42] [489, 42] 6

