Edge map size: 21

[565, 736] [574, 731] 3

[275, 730] [261, 718] 5

[259, 716] [251, 708] 1.41421

[250, 706] [240, 691] 0

[612, 707] [640, 681] 14

[640, 681] [655, 663] 2.12132

[655, 663] [661, 654] 2.12132

[675, 629] [681, 618] 1.34164

[61, 416] [29, 416] 0

[105, 415] [89, 415] 0

[87, 415] [75, 415] 0

[523, 318] [523, 292] 0

[316, 217] [300, 217] 3

[946, 172] [985, 172] 0

[601, 155] [601, 125] 0

[602, 96] [602, 79] 0

[987, 47] [912, 48] 1

[742, 49] [816, 49] 2

[818, 49] [863, 48] 2

[456, 114] [458, 77] 1.45197

[458, 77] [456, 28] 2.78925

